No,Filename,Width,Height,AspectRatio,PixelAspectRatio,SourceDisplayRatio,RatioSource,Format,HasTransparentPixels,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category
1,C-01_UE_Fig12-19_PDF1209_raw.png,1725,1435,1.20,1.20,,native,PNG,False,1,,bitmap,True,True,1805.9,Standard landscape
2,C-04_Fig4-9_PDF68_print153_raw.png,625,515,1.21,1.21,,native,PNG,False,1,,bitmap,True,True,196.3,Standard landscape
3,F-01_HB_Ch09_Fig9-11_pdf249_rawcrop.png,2280,1300,1.75,1.75,,native,PNG,False,1,,bitmap,True,True,422.2,Wide landscape
4,W-02_EP_InterludeF_HydrologicCycle_pdf615-616_print580-581_spread_raw.png,5900,3513,1.68,1.68,,native,PNG,False,1,,bitmap,True,True,2189.4,Wide landscape
